5brG56hsi0,"Remember life is all about those moments you never forget."
6egarehspb,"baby ca "
7hvRsshsu7,"Partner in crime"
BHHzFmSAVRl,"Remo Dance is originally from East Java. Initially this dance was used as an opening dance in ludruk performance. But, later this dance was performed separately as welcome dance for important guests, or performed in festival."
BJ7k3DuAYHS,"Yesterday is history, Today is a gift and, Tomorrow is a mystery."
BJ7mxBhgH5l,"reunited #throwback "
BNk-j28lcUK,"Du bist nie allein süß
Du wirst niemals sein,
Weil ich immer für dich da bin
Und ich werde immer sein,
Gleich dort in deinem Herzen,
Dich ständig zu lieben "
BO13Oh2lC_N,"tbh, I don't have the words to make you feel better, but I do have the warm arms to give you tight hug, baby"
BO1wLcAlmx5,"If god is a DJ.
Life is a dance floor,
Love is a rhythm,
You're the music,
And music is my drug."
BQH7sAbFw9r,ayee????
BQH9UgylQV4,"squad means family, family means nobody gets left behind."
BQNozj9FNeB,"good times, good music , good memories."
BQNrOknF1oo,"hello there,"
BR5nbSvhPKp,"Toscamania #est1971"
BSbdiTeB5dV,"The greatest gift I ever had "
BSbkPz8BvTE,"I wonder If aliens ever say, 'Do you believe in humans?' "
BSi3lXnhtWT,"Tepatnya 3 hari yang lalu adalah hari ulang tahun siska "
BSi64TNhiBu,"u attract the energy that u give off. spread good vibes. THINK POSITIVELY. enjoy life."
BSLj19BByXl,"empty barrels make the most noise"
BSLjH-tBBxO,"you know love can do you like a shotgun"
BSLjSA2hPQ4,"no bad vibe$"
BSOdtN2hRGx,babyy
BSOdYJNB09x,"under control"
BSOeOozBsGN,"damn good vibezzz"
BSoWRMnhvgy,"One day I'm going to wake up roll over my side, and hug & kiss the love of my life"
BL0r-1olitf,"Folow pewdipay tuber simulator gue namanya:ginciku"
BL56oisFqrD,"Jadilah seperti anime ini meski dia tidak punya teman dia berusaha menggapai cita citanya"
BOFSMYelahS,Faded—alanwalker
BOqw0brlIgQ,"Lest start"
BOR4fHvlwK7,"Chalange accepted@nnadinds_,aulii. Azz

Dont like 
Itu id gua kalo mau mabar 
Chalance macam ap ini"
BOrl1lmFOQI,"Liat single @raditya_dika"
BOuhl67lCKQ,"Hari pertama 2017 diawali liat film hangout @raditya_dika"
BP7W95zFpHN,"No no no 
Capt?
Bingung"
BQHH-KBFj-9,"Card baru wkwkwkwkwk"
BSNv6jLALtk,"No coment"
BLbadEGA0Te,"Invite pin gwa"
BLirziEA4tN,"Warkop an dulu biar nggak stress!!!!"
BLiu_ZPg6So,"Mau lihat film sead season"
BLnfzgIAU0J,Kangennn
BBc40kQvsCo,"finish stalker"
BG2quAmPsOq,"makin cantik ajadeh"
BGlrCPnvsL8,BnW
BGxA_wkvsJF,"LONG LIFE PERSEBAYA 89th!! #89th#persebaya#suroboyo#suroboyoijo#savepersebaya1927#8an9kitlahpersebaya"
BH9gXJpgnQh,"sedih yaa,yg dulu everything skrng jadi nothing"
BHroItnAyMQ,"yakinilah bahwa kau tak sendirian #1927#ladiespersebaya"
BIE6ndqAPxU,"kemimut mm"
BIfaGc5gmvg,"ta ek sa ya ng "
BJIbAwCA05K,"i hope u can be mine"
BJovHmpgH5s,"smngt membara bernyanyi bersama,demi sebuah mimpi jdi juara
#1927 #ladiespersebaya"
BK8YO0bAF9A,"don't wait for a happy smile. But, smile for happy"
BKcRd9ig4J0,"sa ya ng ka mu"
BKDXyUCAOMe,"gakbutuh caption butuhnya kamu"
BLlQrLnAK-J,"jihan ada 6 pilih yg mna
#lolface#main#pacetmojokerto"
BMgselGgCl4,"lovenya kok banyak."
BNvy8AEAHup,"u
.
.
#hijab#hijabcantik#muslimah#anakbaik#mantuidaman#calonorangsukses"
BOglwvYAMIe,27'2
BPg0u3hgw0o,"mengagumi karya tuhan itu gaperlu keliling dunia, ngeliat km aja udh cukup kok"
BQXEl6uAWFj,"ongkek ndaseeee"
BRLIAvyAhyl,"sayang kamu boleh?
.
.
.
.
.
.
"
-1cDmKHuZs,"Invite yo rek"
-EJ4IeHue1,"Pengajian jek sempet foto"
-gB42bnuct,"Tolong dihafalkan ya!!!!"
-RF9MWnua9,"Mama tersayang"
-vcjjWnuXH,"Buat synkk ku"
9F5wfSnuQh,"Best friend"
9IfYC8nuah,"My best friend"
9xqcExHuRP,"Sekolah jek sempet foto"
